Running comparison with improved Mermaid outputs...
Evaluating NFT vs groundT...
File 0: Levenshtein=67.74%, Jaccard=91.67%, Cosine=97.05%
File 1: Levenshtein=41.18%, Jaccard=87.50%, Cosine=97.44%
File 2: Levenshtein=50.63%, Jaccard=96.88%, Cosine=94.71%
File 3: Levenshtein=56.57%, Jaccard=95.71%, Cosine=98.21%
File 4: Levenshtein=57.92%, Jaccard=95.08%, Cosine=96.94%
File 5: Levenshtein=53.07%, Jaccard=87.30%, Cosine=98.42%
File 6: Levenshtein=38.93%, Jaccard=76.32%, Cosine=96.61%
File 7: Levenshtein=39.80%, Jaccard=92.42%, Cosine=97.38%
File 8: Levenshtein=64.43%, Jaccard=94.44%, Cosine=96.73%
File 9: Levenshtein=65.11%, Jaccard=95.24%, Cosine=95.95%
File 10: Levenshtein=54.70%, Jaccard=94.37%, Cosine=98.55%
File 11: Levenshtein=68.32%, Jaccard=91.94%, Cosine=97.36%
File 12: Levenshtein=68.99%, Jaccard=91.38%, Cosine=97.98%
File 13: Levenshtein=62.33%, Jaccard=90.28%, Cosine=98.61%
File 14: Levenshtein=71.36%, Jaccard=92.21%, Cosine=98.52%
File 15: Levenshtein=86.51%, Jaccard=92.59%, Cosine=98.46%
File 16: Levenshtein=66.94%, Jaccard=97.01%, Cosine=98.72%
File 17: Levenshtein=69.07%, Jaccard=94.12%, Cosine=97.70%
File 18: Levenshtein=44.02%, Jaccard=88.89%, Cosine=94.81%
File 19: Levenshtein=41.09%, Jaccard=87.69%, Cosine=99.03%
File 20: Levenshtein=73.78%, Jaccard=95.52%, Cosine=98.33%
File 21: Levenshtein=66.55%, Jaccard=93.22%, Cosine=98.22%
File 22: Levenshtein=45.63%, Jaccard=90.16%, Cosine=97.28%
File 23: Levenshtein=29.83%, Jaccard=71.43%, Cosine=95.80%
File 24: Levenshtein=38.86%, Jaccard=80.30%, Cosine=97.73%
File 25: Levenshtein=47.71%, Jaccard=87.88%, Cosine=97.34%
File 26: Levenshtein=54.72%, Jaccard=92.86%, Cosine=95.76%
File 27: Levenshtein=79.94%, Jaccard=88.68%, Cosine=97.07%
File 28: Levenshtein=72.81%, Jaccard=88.24%, Cosine=95.52%
File 29: Levenshtein=70.96%, Jaccard=85.45%, Cosine=97.75%
File 30: Levenshtein=26.99%, Jaccard=56.58%, Cosine=84.45%
File 31: Levenshtein=81.03%, Jaccard=95.24%, Cosine=98.89%
File 32: Levenshtein=77.69%, Jaccard=95.71%, Cosine=98.17%
File 33: Levenshtein=44.64%, Jaccard=87.10%, Cosine=96.79%
File 34: Levenshtein=69.06%, Jaccard=96.77%, Cosine=97.06%
File 35: Levenshtein=66.17%, Jaccard=93.55%, Cosine=98.09%
File 36: Levenshtein=47.05%, Jaccard=89.47%, Cosine=95.42%
File 37: Levenshtein=63.86%, Jaccard=87.50%, Cosine=98.58%
File 38: Levenshtein=70.60%, Jaccard=95.00%, Cosine=98.44%
File 39: Levenshtein=77.73%, Jaccard=94.23%, Cosine=98.07%
File 40: Levenshtein=70.97%, Jaccard=95.24%, Cosine=98.13%
File 41: Levenshtein=53.52%, Jaccard=92.54%, Cosine=98.37%
File 42: Levenshtein=75.67%, Jaccard=91.04%, Cosine=97.72%
File 43: Levenshtein=25.46%, Jaccard=71.21%, Cosine=68.21%
